event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank,treated_epss_plus7,treated_percentile_plus7,control_epss_plus7,control_percentile_plus7,treated_percentile_delta_plus7,control_percentile_delta_plus7,att_percentile_delta_plus7,treated_epss_plus30,treated_percentile_plus30,control_epss_plus30,control_percentile_plus30,treated_percentile_delta_plus30,control_percentile_delta_plus30,att_percentile_delta_plus30
59,CVE-2018-3846,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.02128,3,0.02446,0.84272,0.01901,0.82216,0.0040499999999999,0.00477,-0.00072,0.01518,0.80227,0.01901,0.82246,-0.0363999999999999,0.00507,-0.04147
60,CVE-2018-3847,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.01759,0.8104,0.0,0.01901,0.81739,0.0,0.0069899999999999,1,0.0071,0.70974,0.01901,0.82216,-0.1006599999999999,0.00477,-0.10543,0.00504,0.64905,0.01901,0.82246,-0.16135,0.00507,-0.16642
60,CVE-2018-3847,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.01759,0.8104,0.0,0.01901,0.81739,0.0,0.0069899999999999,2,0.0071,0.70974,0.01901,0.82216,-0.1006599999999999,0.00477,-0.10543,0.00504,0.64905,0.01901,0.82246,-0.16135,0.00507,-0.16642
60,CVE-2018-3847,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.01759,0.8104,0.0,0.01901,0.81739,0.0,0.0069899999999999,3,0.0071,0.70974,0.01901,0.82216,-0.1006599999999999,0.00477,-0.10543,0.00504,0.64905,0.01901,0.82246,-0.16135,0.00507,-0.16642
61,CVE-2018-3848,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.01443,1,0.02242,0.83617,0.01901,0.82216,0.0043499999999999,0.00477,-0.00042,0.01381,0.79244,0.01901,0.82246,-0.0393799999999999,0.00507,-0.0444499999999999
61,CVE-2018-3848,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.01443,2,0.02242,0.83617,0.01901,0.82216,0.0043499999999999,0.00477,-0.00042,0.01381,0.79244,0.01901,0.82246,-0.0393799999999999,0.00507,-0.0444499999999999
61,CVE-2018-3848,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.01443,3,0.02242,0.83617,0.01901,0.82216,0.0043499999999999,0.00477,-0.00042,0.01381,0.79244,0.01901,0.82246,-0.0393799999999999,0.00507,-0.0444499999999999
62,CVE-2018-3849,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.01443,1,0.02242,0.83617,0.01901,0.82216,0.0043499999999999,0.00477,-0.00042,0.01381,0.79244,0.01901,0.82246,-0.0393799999999999,0.00507,-0.0444499999999999
62,CVE-2018-3849,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.01443,2,0.02242,0.83617,0.01901,0.82216,0.0043499999999999,0.00477,-0.00042,0.01381,0.79244,0.01901,0.82246,-0.0393799999999999,0.00507,-0.0444499999999999
62,CVE-2018-3849,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.02242,0.83182,0.0,0.01901,0.81739,0.0,0.01443,3,0.02242,0.83617,0.01901,0.82216,0.0043499999999999,0.00477,-0.00042,0.01381,0.79244,0.01901,0.82246,-0.0393799999999999,0.00507,-0.0444499999999999
