event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank
219,CVE-2022-23513,2023-09-04,CVE-2022-34708,2025-05-16,7,0.25000000000000017,0.00046,0.13996,0.0,0.00047,0.14406,0.0,0.0040999999999999925,3
220,CVE-2022-23824,2025-02-07,CVE-2022-29614,2025-04-09,6,0.55,0.00059,0.27368,0.0,0.00058,0.26821,0.0,0.005469999999999975,1
220,CVE-2022-23824,2025-02-07,CVE-2022-4407,2025-04-16,11,0.6499999999999997,0.00059,0.27368,0.0,0.00061,0.28617,0.0,0.012490000000000001,2
220,CVE-2022-23824,2025-02-07,CVE-2022-22126,2025-04-11,7,0.6499999999999997,0.00059,0.27368,0.0,0.00062,0.28843,0.0,0.01475000000000004,3
223,CVE-2022-24715,2023-07-15,CVE-2022-40259,2025-03-18,7,0.24999999999999928,0.00137,0.48213,0.0,0.00134,0.47776,0.0,0.004369999999999985,1
223,CVE-2022-24715,2023-07-15,CVE-2022-0811,2025-05-13,12,0.3500000000000007,0.00137,0.48213,0.0,0.00116,0.44588,0.0,0.036250000000000004,2
223,CVE-2022-24715,2023-07-15,CVE-2022-22620,2025-05-10,11,0.3500000000000007,0.00137,0.48213,0.0,0.00183,0.54626,0.0,0.06412999999999996,3
225,CVE-2022-2591,2023-05-13,CVE-2022-46908,2025-05-14,8,0.25000000000000017,0.00046,0.14074,0.0,0.00046,0.14091,0.0,0.00017000000000000348,1
225,CVE-2022-2591,2023-05-13,CVE-2022-38028,2025-04-17,10,0.3499999999999998,0.00046,0.14074,0.0,0.00048,0.14675,0.0,0.006009999999999988,2
225,CVE-2022-2591,2023-05-13,CVE-2022-29154,2025-01-16,7,0.14999999999999963,0.00046,0.14074,0.0,0.00053,0.18965,0.0,0.04891000000000001,3
227,CVE-2022-26118,2025-02-11,CVE-2022-2390,2025-04-26,5,0.6500000000000006,0.00044,0.14879,0.0,0.00044,0.14879,0.0,0.0,1
229,CVE-2022-26872,2025-03-18,CVE-2022-2601,2025-05-14,2,0.29999999999999893,0.00086,0.22718,0.0,0.00069,0.18563,0.0,0.041550000000000004,1
231,CVE-2022-27254,2025-04-15,CVE-2022-44683,2025-05-16,11,2.75,0.03562,0.87017,0.0,0.04022,0.87802,0.0,0.007850000000000024,1
231,CVE-2022-27254,2025-04-15,CVE-2022-38037,2025-05-16,8,2.75,0.03562,0.87017,0.0,0.0202,0.82675,0.0,0.043420000000000014,2
