event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance
401,CVE-2023-29983,2023-05-02,CVE-2023-27636,2024-06-03,4,0.0
401,CVE-2023-29983,2023-05-02,CVE-2023-2745,2025-04-22,5,0.0
401,CVE-2023-29983,2023-05-02,CVE-2023-0109,2024-11-15,6,0.05
401,CVE-2023-29983,2023-05-02,CVE-2023-42007,2025-04-11,7,0.05
401,CVE-2023-29983,2023-05-02,CVE-2023-45279,2025-04-11,8,0.05
401,CVE-2023-29983,2023-05-02,CVE-2023-45280,2025-04-11,9,0.05
401,CVE-2023-29983,2023-05-02,CVE-2023-45885,2025-04-11,10,0.05
401,CVE-2023-29983,2023-05-02,CVE-2023-46470,2025-04-11,11,0.05
401,CVE-2023-29983,2023-05-02,CVE-2023-46471,2025-04-11,12,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-20655,2024-11-15,1,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-45185,2025-01-08,2,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-4046,2025-04-22,3,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-22620,2025-05-10,4,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-0811,2025-05-13,5,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-26500,2025-05-13,6,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-38181,2025-05-23,7,0.05
301,CVE-2022-47875,2023-05-05,CVE-2022-4975,2025-01-27,8,0.14999999999999963
301,CVE-2022-47875,2023-05-05,CVE-2022-32144,2024-12-20,9,0.25000000000000105
301,CVE-2022-47875,2023-05-05,CVE-2022-43939,2025-03-04,10,0.25000000000000105
301,CVE-2022-47875,2023-05-05,CVE-2022-2601,2025-05-14,11,0.25000000000000105
301,CVE-2022-47875,2023-05-05,CVE-2022-24715,2023-07-15,12,0.3000000000000007
303,CVE-2022-47877,2023-05-05,CVE-2022-41358,2025-04-16,1,0.0
303,CVE-2022-47877,2023-05-05,CVE-2022-23513,2023-09-04,2,0.10000000000000053
303,CVE-2022-47877,2023-05-05,CVE-2022-42821,2025-01-13,3,0.14999999999999963
303,CVE-2022-47877,2023-05-05,CVE-2022-23824,2025-02-07,4,0.14999999999999963
303,CVE-2022-47877,2023-05-05,CVE-2022-34708,2025-05-16,5,0.14999999999999963
303,CVE-2022-47877,2023-05-05,CVE-2022-40258,2025-03-18,6,0.15000000000000052
